age,job,marital,education,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,deposit
59.0,5,2,2,2343,1,0,2,5,5,1033,1,0.0,3,1
56.0,5,2,2,45,0,0,2,5,5,1033,1,0.0,3,1
41.0,7,2,2,1270,1,0,2,5,5,1033,1,0.0,3,1
55.0,8,2,2,2476,1,0,2,5,5,579,1,0.0,3,1
54.0,5,2,0,184,0,0,2,5,5,673,2,0.0,3,1
42.0,3,0,0,0,1,1,2,5,5,562,2,0.0,3,1
56.0,3,2,0,830,1,1,2,6,5,1033,1,0.0,3,1
60.0,1,1,2,545,1,0,2,6,5,1030,1,0.0,3,1
37.0,7,2,2,1,1,0,2,6,5,608,1,0.0,3,1
28.0,8,0,2,4087,1,0,2,6,5,1033,3,0.0,3,1
38.0,5,0,2,100,1,0,2,7,5,786,1,0.0,3,1
30.0,11,2,2,309,1,0,2,7,5,1033,2,0.0,3,1
29.0,3,2,0,199,1,1,2,7,5,1033,4,0.0,3,1
46.0,11,0,0,460,1,0,2,7,5,1033,2,0.0,3,1
31.0,7,0,0,703,1,0,2,8,5,943,2,0.0,3,1
35.0,3,1,0,3837,1,0,2,8,5,1033,1,0.0,3,1
32.0,11,0,3,611,1,0,2,8,5,541,3,0.0,3,1
49.0,8,2,2,-8,1,0,2,8,5,1033,1,0.0,3,1
41.0,5,2,2,55,1,0,2,8,5,1033,2,0.0,3,1
49.0,5,1,2,168,1,1,2,8,5,513,1,0.0,3,1
28.0,5,1,2,785,1,0,2,8,5,442,2,0.0,3,1
43.0,3,0,0,2067,1,0,2,8,5,756,1,0.0,3,1
43.0,3,1,0,388,1,0,2,8,5,1033,2,0.0,3,1
43.0,11,2,3,-192,1,0,2,8,5,1033,2,0.0,3,1
37.0,2,0,2,381,1,0,2,8,5,985,2,0.0,3,1
35.0,11,0,2,40,1,0,2,9,5,617,4,0.0,3,1
31.0,7,0,0,22,1,0,2,9,5,483,3,0.0,3,1
43.0,11,0,2,3,1,0,2,9,5,929,3,0.0,3,1
31.0,5,2,2,307,1,0,2,9,5,538,1,0.0,3,1
28.0,11,0,2,759,1,0,2,9,5,710,1,0.0,3,1
32.0,11,2,2,-1,1,0,2,9,5,653,1,0.0,3,1
60.0,7,2,3,65,1,0,2,9,5,1028,2,0.0,3,1
26.0,11,0,2,82,1,0,2,9,5,654,1,0.0,3,1
40.0,11,2,2,10,1,0,2,9,5,1033,2,0.0,3,1
